"town","tract","lon","lat","medv","cmedv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
"Arlington",3561,-71.3320285714286,42.6423428571429,23.1,23.1,0.13914,0,4.05,"0",0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69
"Arlington",3562,-71.3305285714286,42.6457428571429,23.6,23.6,0.09178,0,4.05,"0",0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04
"Arlington",3563,-71.3283285714286,42.6482428571429,22.6,22.6,0.08447,0,4.05,"0",0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64
"Arlington",3564,-71.3390285714286,42.6582428571429,29.4,29.4,0.06664,0,4.05,"0",0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33
"Arlington",3565,-71.3575285714286,42.6557428571429,23.2,23.2,0.07022,0,4.05,"0",0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11
"Arlington",3566,-71.3510285714286,42.6519428571429,24.6,24.6,0.05425,0,4.05,"0",0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29
"Arlington",3567,-71.3415285714286,42.6477428571429,29.9,29.9,0.06642,0,4.05,"0",0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92
"Ashland",3851,-71.49025,42.79465,21.9,21.9,0.04819,80,3.64,"0",0.392,6.108,32,9.2203,1,315,16.4,392.89,6.57
"Ashland",3852,-71.46975,42.78535,20.9,20.9,0.03548,80,3.64,"0",0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25
"Bedford",3591,-71.3646,42.6785,31.1,31.1,0.02187,60,2.93,"0",0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03
"Bedford",3592,-71.3754,42.6815,29.1,29.1,0.01439,60,2.93,"0",0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38
"Belmont",3571,-71.3444875,42.666875,37.2,37.2,0.0578,0,2.46,"0",0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04
"Belmont",3572,-71.3439875,42.660575,39.8,39.8,0.06588,0,2.46,"0",0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56
"Belmont",3573,-71.3410875,42.654275,36.2,36.2,0.06888,0,2.46,"0",0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45
"Belmont",3574,-71.3449875,42.654775,37.9,37.9,0.09103,0,2.46,"0",0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82
"Belmont",3575,-71.3509875,42.656075,32.5,32.5,0.10008,0,2.46,"0",0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68
"Belmont",3576,-71.3564875,42.656075,26.4,26.4,0.08308,0,2.46,"0",0.488,5.604,89.8,2.9879,3,193,17.8,391,13.98
"Belmont",3577,-71.3619875,42.661075,29.6,29.6,0.06047,0,2.46,"0",0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15
"Belmont",3578,-71.3559875,42.670275,50,50,0.05602,0,2.46,"0",0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45
"Beverly",2171,-71.1905833333333,42.5004166666667,23.3,23.3,0.15445,25,5.13,"0",0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86
